country,country_code,indicator_name,indicator_code,year,industry_value_added
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,10.2269747245557
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,19.9138430386342
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,6.97381556958263
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,0.0
Botswana,BWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,13.3305060134328
Chile,CHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,34.9892294367181
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,44.2951197990905
Cote d'Ivoire,CIV,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,13.1387841021551
"Congo, Rep.",COG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,17.0278623527498
Costa Rica,CRI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,20.1363383928447
East Asia & Pacific (excluding high income),EAP,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,48.34963633507
East Asia & Pacific,EAS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,94.1454729110444
Ecuador,ECU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,22.0207609495594
"Egypt, Arab Rep.",EGY,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,21.5592572364828
France,FRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,30.5286971812109
Gabon,GAB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,33.91758096792
Guyana,GUY,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,27.8615490061686
Honduras,HND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,14.7482392515505
IBRD only,IBD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,46.4025337222846
IDA & IBRD total,IBT,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,45.3666891530196
India,IND,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,20.8343434545716
"Iran, Islamic Rep.",IRN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,25.747575219078
Kenya,KEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,16.8899002147668
"Korea, Rep.",KOR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,17.2647527910686
Sri Lanka,LKA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,20.687159082104
Lower middle income,LMC,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,31.9011782929262
Low & middle income,LMY,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,43.6476722673248
Late-demographic dividend,LTE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,62.476260142048
Middle income,MIC,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,44.9548769097346
Malaysia,MYS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,24.7115632458234
Niger,NER,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,3.88588809226447
Pakistan,PAK,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,14.5737649826369
Peru,PER,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,28.2175206392332
Philippines,PHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,34.6102115941058
Puerto Rico (US),PRI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,27.6257462024942
South Asia,SAS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,19.3222133691311
Sudan,SDN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,12.5701172870984
Senegal,SEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,13.6213953408618
Singapore,SGP,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,16.3576527301381
"Somalia, Fed. Rep.",SOM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,6.96664046092708
Suriname,SUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,41.6959357752132
Chad,TCD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,9.19507955244028
East Asia & Pacific (IDA & IBRD countries),TEA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,48.3323894359241
Thailand,THA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,18.5164920445915
South Asia (IDA & IBRD),TSA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,19.3222133691311
Turkiye,TUR,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,17.3274596182085
Uganda,UGA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,12.8160079296246
Upper middle income,UMC,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,52.6291948721846
South Africa,ZAF,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,32.4691950712114
Zambia,ZMB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1960,62.1518733720697
Benin,BEN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,9.81330180282074
Burkina Faso,BFA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,19.8945260581446
Bangladesh,BGD,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,6.79411774906471
Brazil,BRA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,0.0
Botswana,BWA,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,12.2975254408832
Chile,CHL,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,34.9331124463066
China,CHN,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,31.8649283342781
Cote d'Ivoire,CIV,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,13.8789745254135
"Congo, Rep.",COG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,18.0107513527578
Costa Rica,CRI,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,20.3666356274042
East Asia & Pacific (excluding high income),EAP,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,36.3981254464976
East Asia & Pacific,EAS,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,62.5829754342134
Ecuador,ECU,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1961,21.6682342490954
